#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	13.594
firstFrontCount	1
frontCount	50
avgEvalTime	0.270524
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.449123	0.586187	0.42639	0.0537864	0.371477	0.848711	0.558976	0.0876244	2.17942	2.75114	0	0	0	0	0	0	
0.916174	0.0723885	0.00572461	0.139362	0.00149269	0.798088	0.901547	0.445108	1.68224	2.48791	0	0	0	0	0	0	
0.901715	0.445001	0.815652	0.642267	0.613648	0.158704	0.0675656	0.363409	2.05708	2.43892	0	0	0	0	0	0	
0.405667	0.950193	0.8932	0.140382	0.0942357	0.325597	0.93895	0.638054	2.2083	2.42159	0	0	0	0	0	0	
0.438263	0.726117	0.699667	0.919983	0.194278	0.212577	0.417955	0.274587	2.43764	1.9137	0	0	0	0	0	0	
0.851885	0.993652	0.551444	0.968664	0.612257	0.0331686	0.740951	0.675973	2.23803	2.02242	0	0	0	0	0	0	
0.949764	0.859717	0.379315	0.627079	0.362255	0.437048	0.477446	0.171225	2.16123	2.45255	0	0	0	0	0	0	
0.763067	0.437146	0.139798	0.977181	0.279504	0.670275	0.567795	0.545033	2.26778	2.1282	0	0	0	0	0	0	
0.931565	0.0458254	0.567282	0.802196	0.103077	0.600203	0.809132	0.124807	2.2141	2.19423	0	0	0	0	0	0	
0.0638972	0.37344	0.435729	0.81342	0.591144	0.771074	0.148208	0.873201	2.89783	1.67263	0	0	0	0	0	0	
0.612685	0.307966	0.103961	0.596444	0.160613	0.806382	0.102163	0.336055	2.1329	2.31687	0	0	0	0	0	0	
0.974146	0.949717	0.632832	0.505157	0.110119	0.223839	0.174099	0.808425	2.01104	2.52623	0	0	0	0	0	0	
0.156869	0.271958	0.292533	0.0482042	0.384991	0.140056	0.798794	0.446699	2.20811	2.46699	0	0	0	0	0	0	
0.915659	0.641828	0.242084	0.171733	0.736135	0.0474953	0.740499	0.66355	1.67859	2.85405	0	0	0	0	0	0	
0.934881	0.432737	0.764167	0.814296	0.412687	0.815148	0.750068	0.496448	2.43571	2.3732	0	0	0	0	0	0	
0.290686	0.838445	0.197551	0.116096	0.23298	0.877199	0.532629	0.494482	2.11451	2.56902	0	0	0	0	0	0	
0.410534	0.822457	0.219358	0.724179	0.814866	0.488981	0.994781	0.104945	2.43974	2.07133	0	0	0	0	0	0	
