#NSGA2
popsize 100
maxGen 200
numVar 8
numObj 3
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	214.525
firstFrontCount	1
frontCount	100
avgEvalTime	2.14314
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.0266546	0.0866864	0.0755463	0.0814131	0.690072	0.956056	0.949265	0.118479	2.45472	2.18855	0.974244	0	0	0	0	0	0	
0.0190334	0.0807504	0.0973265	0.0286424	0.258194	0.919571	0.726222	0.883809	2.16325	1.90027	0.972715	0	0	0	0	0	0	
0.071642	0.0032364	0.0446224	0.0480954	0.525231	0.106776	0.270481	0.505409	2.23811	2.1392	0.988626	0	0	0	0	0	0	
0.0478546	0.0322029	0.0403126	0.0450756	0.289855	0.826375	0.316358	0.675818	2.42967	2.02223	0.983976	0	0	0	0	0	0	
0.0117709	0.0648422	0.0445878	0.0949115	0.384367	0.222706	0.835209	0.31138	2.69234	1.79363	0.978034	0	0	0	0	0	0	
0.0114431	0.013113	0.0929331	0.0180087	0.776804	0.974061	0.773549	0.0428576	2.30129	2.52322	0.954389	0	0	0	0	0	0	
0.0420965	0.0942854	0.0750029	0.00656105	0.70735	0.991189	0.539162	0.694372	2.16924	2.5784	0.988986	0	0	0	0	0	0	
0.0175816	0.0679141	0.070125	0.066883	0.461833	0.922056	0.437459	0.320128	2.53136	2.06594	0.96949	0	0	0	0	0	0	
0.0715333	0.041589	0.022679	0.0593564	0.29737	0.233081	0.131131	0.596053	2.23966	2.18474	0.98357	0	0	0	0	0	0	
0.0735021	0.0154346	0.0165736	0.0731589	0.294211	0.0255529	0.842338	0.177712	2.21543	2.24553	0.987567	0	0	0	0	0	0	
0.0395381	0.00671656	0.0917069	0.0985112	0.868564	0.935948	0.473014	0.714288	2.44037	2.14355	0.974553	0	0	0	0	0	0	
0.0806727	0.0275229	0.0920172	0.0582973	0.646043	0.699329	0.154451	0.0194298	2.15827	2.82627	0.98123	0	0	0	0	0	0	
0.0503636	0.0704526	0.0667995	0.0584619	0.324906	0.208565	0.227786	0.974124	2.39335	1.83205	0.980071	0	0	0	0	0	0	
0.0827576	0.0231136	0.0327186	0.0432402	0.331805	0.604673	0.288641	0.153262	2.15624	2.75001	0.980628	0	0	0	0	0	0	
0.0761992	0.0349975	0.0370092	0.00253458	0.0504566	0.31978	0.154058	0.232379	1.91494	2.90296	0.98679	0	0	0	0	0	0	
0.0649749	0.039334	0.0525605	0.00469463	0.526948	0.672273	0.344672	0.330931	1.99736	2.86596	0.997512	0	0	0	0	0	0	
0.042314	0.0297551	0.0337811	0.0945111	0.187573	0.201903	0.571627	0.405805	2.58171	1.91117	0.964046	0	0	0	0	0	0	
0.0369975	0.0340405	0.0780685	0.0544392	0.57772	0.0312611	0.564882	0.288042	2.65013	2.44129	0.954225	0	0	0	0	0	0	
0.0200269	0.0105887	0.0178874	0.0744873	0.0502836	0.480401	0.706224	0.310464	2.61193	1.73836	0.982533	0	0	0	0	0	0	
0.0254988	0.0406599	0.0444694	0.0441535	0.0173482	0.809544	0.116092	0.400401	2.48874	1.80511	0.994425	0	0	0	0	0	0	
0.0637961	0.0874465	0.0632618	0.0903183	0.78421	0.754807	0.301528	0.238577	2.61237	2.59496	0.96094	0	0	0	0	0	0	
0.0252091	0.0397337	0.0199578	0.0714114	0.17352	0.599175	0.684732	0.929513	2.51828	1.64768	0.978015	0	0	0	0	0	0	
0.00477744	0.0464959	0.0349928	0.0996868	0.455664	0.852727	0.369351	0.0045887	2.84914	2.06637	0.981287	0	0	0	0	0	0	
0.0847673	0.0282428	0.0897458	0.081401	0.563167	0.989546	0.512603	0.463732	2.31632	2.43776	0.974887	0	0	0	0	0	0	
0.0306948	0.0142634	0.0816631	0.0489481	0.376009	0.0783892	0.828816	0.225118	2.31941	2.34906	1.01181	0	0	0	0	0	0	
0.029056	0.0505112	0.0995381	0.0916956	0.475471	0.726356	0.616621	0.0487933	2.58897	2.14665	0.97574	0	0	0	0	0	0	
0.00377604	0.069087	0.0281466	0.0191661	0.97229	0.831005	0.432664	0.31318	2.45259	2.71211	0.959732	0	0	0	0	0	0	
0.0591996	0.0336573	0.00818326	0.071598	0.900086	0.717613	0.9269	0.144074	2.35675	2.72518	0.97623	0	0	0	0	0	0	
0.0166362	0.0216315	0.00668226	0.0113705	0.818417	0.497117	0.80446	0.965486	2.41026	2.19747	0.98911	0	0	0	0	0	0	
0.0167933	0.0923083	0.0171128	0.0358514	0.738093	0.0660218	0.820704	0.410868	2.51154	2.54028	0.9531	0	0	0	0	0	0	
0.0485044	0.0873168	0.0506867	0.0643889	0.940358	0.830169	0.373742	0.455575	2.33702	2.50811	0.986206	0	0	0	0	0	0	
0.0182975	0.00979971	0.0933203	0.00128655	0.241658	0.335447	0.73156	0.502011	2.00456	2.19918	0.990068	0	0	0	0	0	0	
0.072176	0.0498547	0.0980721	0.0940986	0.671446	0.898034	0.506681	0.367011	2.38857	2.41755	0.978405	0	0	0	0	0	0	
0.0323516	0.0717595	0.0340124	0.0617743	0.419954	0.537394	0.0654273	0.52096	2.54809	1.91835	0.991534	0	0	0	0	0	0	
0.0665308	0.0828216	0.0289722	0.0904703	0.551255	0.925584	0.875816	0.341967	2.44718	2.3531	0.977567	0	0	0	0	0	0	
0.0651549	0.0902176	0.0529428	0.0702452	0.805249	0.257119	0.60409	0.4104	2.36039	2.56565	0.962988	0	0	0	0	0	0	
0.0561638	0.0700753	0.0586654	0.0279045	0.545389	0.706153	0.498786	0.170971	2.17068	2.70284	0.995735	0	0	0	0	0	0	
0.015262	0.0774282	0.081155	0.0937307	0.425044	0.624685	0.0879235	0.17796	2.64807	1.92518	0.967333	0	0	0	0	0	0	
0.0157867	0.0700606	0.0418642	0.0949872	0.194711	0.518573	0.441353	0.850319	2.68773	1.62933	0.98548	0	0	0	0	0	0	
0.00408816	0.00234783	0.0144333	0.0195256	0.807213	0.598415	0.981587	0.678701	2.58841	2.31071	0.986066	0	0	0	0	0	0	
0.099887	0.0829365	0.0383206	0.0966577	0.486223	0.337437	0.85124	0.49813	2.31091	2.33727	0.977464	0	0	0	0	0	0	
0.0168497	0.0107632	0.000957011	0.0928426	0.861865	0.441676	0.829792	0.882423	2.57	2.04233	0.992942	0	0	0	0	0	0	
0.0601169	0.0698659	0.031961	0.0329447	0.472001	0.786188	0.872993	0.424485	1.96347	2.37644	0.975224	0	0	0	0	0	0	
0.0405439	0.059695	0.00546803	0.0302732	0.745532	0.344283	0.774008	0.00201577	2.23717	2.86201	0.979559	0	0	0	0	0	0	
