#NSGA2
popsize 100
maxGen 200
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	180.179
firstFrontCount	1
frontCount	100
avgEvalTime	1.79965
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.639168	0.362675	0.699511	0.227354	0.545867	0.845356	0.889461	0.637259	1.92395	2.62667	0	0	0	0	0	0	
0.0481983	0.0184189	0.0828019	0.96601	0.643558	0.880259	0.188266	0.437572	2.91097	1.87139	0	0	0	0	0	0	
0.04761	0.485802	0.30176	0.8917	0.485642	0.776671	0.579154	0.948436	2.82582	1.63399	0	0	0	0	0	0	
0.0467875	0.409867	0.0684074	0.103577	0.475107	0.242885	0.959078	0.933619	2.27209	1.89162	0	0	0	0	0	0	
0.660188	0.736211	0.113431	0.555627	0.925	0.802877	0.311013	0.765714	2.25072	2.25381	0	0	0	0	0	0	
0.228481	0.992719	0.78748	0.231334	0.904862	0.211147	0.0349198	0.425314	2.14299	2.26997	0	0	0	0	0	0	
0.975641	0.617929	0.615263	0.667062	0.419689	0.179655	0.140618	0.895522	2.22037	2.49498	0	0	0	0	0	0	
0.926872	0.497835	0.621532	0.953034	0.871855	0.428749	0.558759	0.279604	2.28811	2.27556	0	0	0	0	0	0	
0.806612	0.503076	0.496912	0.655767	0.078189	0.406911	0.64003	0.985297	2.25412	2.37206	0	0	0	0	0	0	
0.251675	0.304321	0.0404417	0.160058	0.759311	0.898013	0.069386	0.176609	2.15472	2.39416	0	0	0	0	0	0	
0.955801	0.619873	0.267078	0.429509	0.655403	0.824064	0.583159	0.449238	2.03965	2.63654	0	0	0	0	0	0	
0.626483	0.335328	0.0866612	0.444106	0.264466	0.0202721	0.877454	0.921823	2.15839	2.35208	0	0	0	0	0	0	
0.00693766	0.140699	0.700992	0.727058	0.439991	0.707643	0.880266	0.150079	2.81499	1.55952	0	0	0	0	0	0	
0.222123	0.963866	0.22003	0.209451	0.947199	0.495107	0.161342	0.547436	2.31739	2.44023	0	0	0	0	0	0	
