#NSGA2
popsize 100
maxGen 200
numVar 8
numObj 3
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	134.174
firstFrontCount	1
frontCount	100
avgEvalTime	1.34081
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.0348294	0.0660116	0.0635722	0.0676173	0.213356	0.646828	0.335644	0.362314	64049.4	3.55462e+06	0.968809	0	0	0	0	0	0	
0.063553	0.0940693	0.00205456	0.0715513	0.14149	0.883105	0.88674	0.389124	1.22551e+08	4.23396e+09	0.982879	0	0	0	0	0	0	
0.0328764	0.0786493	0.0117383	0.0595787	0.741267	0.653477	0.334338	0.608979	639648	1.38062e+13	0.958766	0	0	0	0	0	0	
0.0934737	0.0105666	0.00904453	0.0530713	0.547744	0.594221	0.779199	0.314675	3.5214e+07	1.97606e+11	0.953474	0	0	0	0	0	0	
0.0768019	0.0138083	0.0228259	0.0664902	0.86778	0.72282	0.883854	0.533044	7.63198e+06	1.98765e+10	0.986519	0	0	0	0	0	0	
0.0565711	0.0816903	0.0287561	0.0176977	0.838355	0.594615	0.0368729	0.134051	19106	6.69386e+10	0.983081	0	0	0	0	0	0	
0.097403	0.0178619	0.0199006	0.0853919	0.218495	0.680763	0.929823	0.636145	8.53031e+09	512810	0.982026	0	0	0	0	0	0	
0.0326261	0.0398495	0.0884346	0.0414632	0.80213	0.0815228	0.414768	0.550315	1.47227e+06	2.07637e+10	0.98453	0	0	0	0	0	0	
0.0555531	0.0612792	0.0893617	0.0930128	0.712	0.0345287	0.153106	0.730118	8.27209e+06	4.13581e+08	0.967989	0	0	0	0	0	0	
0.0641351	0.0626153	0.0239245	0.0377778	0.0635594	0.520409	0.145932	0.433906	5215.09	4.87588e+12	0.965988	0	0	0	0	0	0	
0.083735	0.0992373	0.000357187	0.0454203	0.062883	0.0682524	0.420489	0.493637	3.15576e+06	5.45369e+10	1.00094	0	0	0	0	0	0	
0.0628754	0.0282296	0.0161605	0.0395601	0.907675	0.751295	0.934111	0.789376	217239	6.97325e+07	0.973806	0	0	0	0	0	0	
0.0802829	0.0227376	0.0755117	0.00934516	0.494983	0.295357	0.477644	0.595854	1.50372e+06	2.37409e+10	0.971528	0	0	0	0	0	0	
0.0556229	0.00902556	0.071847	0.083868	0.686947	0.756046	0.482508	0.76946	2.93328e+06	5.97073e+08	0.988	0	0	0	0	0	0	
0.0276952	0.053083	0.0725241	0.0188343	0.6561	0.768719	0.239554	0.567777	949161	1.18515e+08	0.978342	0	0	0	0	0	0	
0.0538902	0.0510912	0.0455442	0.0821121	0.797746	0.424798	0.0602214	0.954774	5.03464e+06	1.25054e+08	0.974768	0	0	0	0	0	0	
0.0569917	0.0328213	0.0742626	0.0592669	0.944847	0.412364	0.39166	0.675919	1.86181e+06	2.70863e+11	0.968241	0	0	0	0	0	0	
0.0348987	0.0845931	0.0137843	0.0996853	0.309818	0.100362	0.652016	0.148228	1.18124e+11	337.79	0.981917	0	0	0	0	0	0	
0.0566518	0.021048	0.0537765	0.0266209	0.99223	0.0762205	0.841337	0.775896	386995	4.79897e+12	0.973641	0	0	0	0	0	0	
0.0513011	0.0244961	0.0242355	0.0410088	0.394091	0.824302	0.475234	0.486706	29369.9	5.53758e+09	0.975723	0	0	0	0	0	0	
0.00934547	0.0310563	0.0434062	0.0982213	0.963423	0.0244682	0.705559	0.277812	1.24418e+06	8.72785e+09	0.99184	0	0	0	0	0	0	
0.0534237	0.0309693	0.044966	0.0302388	0.223691	0.0574605	0.77646	0.302209	697492	5.95885e+08	0.984141	0	0	0	0	0	0	
0.0458978	0.0180938	0.0439322	0.0913149	0.422826	0.363463	0.523693	0.67375	1.61209e+06	3.66634e+07	0.974828	0	0	0	0	0	0	
0.0536707	0.0468491	0.0411896	0.018822	0.916669	0.703948	0.461241	0.173713	7364.83	1.59449e+09	0.963236	0	0	0	0	0	0	
0.0120317	0.00752528	0.035058	0.0939505	0.101189	0.349514	0.782599	0.914507	3.91481e+08	186.201	0.969457	0	0	0	0	0	0	
0.0557934	0.0740709	0.090765	0.052374	0.911759	0.15388	0.347049	0.766865	74194.4	8.7326e+07	0.969482	0	0	0	0	0	0	
0.0306795	0.0143709	0.0949845	0.0604378	0.767748	0.258335	0.547672	0.246404	1.39269e+09	1.25262e+11	0.971308	0	0	0	0	0	0	
0.0564473	0.0557939	0.0887852	0.0366468	0.206791	0.779987	0.889858	0.485695	8.36592e+06	9.50667e+09	0.993503	0	0	0	0	0	0	
0.0278554	0.0468736	0.0868988	0.0818128	0.919782	0.52928	0.513981	0.433646	1.81376e+06	181744	0.979315	0	0	0	0	0	0	
0.0887916	0.0813588	0.00577976	0.0683186	0.747096	0.706529	0.589436	0.289985	1.2332e+06	1.34154e+11	0.978759	0	0	0	0	0	0	
0.0962248	0.0971941	0.0300202	0.0419117	0.319468	0.268783	0.326792	0.669233	669.531	3.19921e+10	0.941479	0	0	0	0	0	0	
0.0599054	0.0619991	0.0571508	0.0581348	0.676387	0.570824	0.0804015	0.0692221	9835.77	1.25334e+09	0.978089	0	0	0	0	0	0	
0.0443815	0.016797	0.0452472	0.0538864	0.659359	0.736543	0.201622	0.426701	1.40336e+06	1.15403e+06	0.983927	0	0	0	0	0	0	
0.000483754	0.0682995	0.038944	0.0152578	0.371252	0.958747	0.584646	0.338591	6.02304e+11	2.28842e+08	0.96546	0	0	0	0	0	0	
0.090166	0.0126826	0.0986099	0.0171757	0.854674	0.0806641	0.00460704	0.430126	2.61496e+10	3.34751e+13	0.976908	0	0	0	0	0	0	
0.0422462	0.0798346	0.0574949	0.0861267	0.660808	0.909195	0.565767	0.0934726	1.86086e+07	3.8852e+06	0.988429	0	0	0	0	0	0	
0.0404585	0.0436748	0.0653705	0.0333507	0.386986	0.72517	0.808691	0.0506895	273520	2.18151e+12	0.955173	0	0	0	0	0	0	
0.0423853	0.0391952	0.0908128	0.0520231	0.459441	0.54362	0.290013	0.206047	1.6169e+07	9.88763e+07	0.982757	0	0	0	0	0	0	
0.0256851	0.0966403	0.0959218	0.0368414	0.478426	0.123288	0.213733	0.387206	9.72328e+08	2.53402e+06	0.983422	0	0	0	0	0	0	
0.0178754	0.0196569	0.0328338	0.09223	0.0934051	0.18056	0.0817897	0.171846	7.78717e+09	64.1645	0.987869	0	0	0	0	0	0	
0.00128174	0.0877212	0.00178663	0.0831565	0.550818	0.210558	0.712424	0.791786	4.09623e+11	715907	0.98424	0	0	0	0	0	0	
0.0353366	0.0249198	0.0346492	0.0189888	0.207833	0.509133	0.290823	0.58307	67297.3	2.03548e+06	0.977341	0	0	0	0	0	0	
0.0366212	0.00437813	0.00108519	0.0470814	0.561203	0.569933	0.182469	0.638442	1.34255e+10	1.86894e+09	0.989592	0	0	0	0	0	0	
0.093927	0.0821222	0.0600674	0.0512844	0.187819	0.980111	0.786193	0.937955	538.454	1.272e+07	0.967864	0	0	0	0	0	0	
0.0521655	0.0610874	0.0465112	0.016124	0.654729	0.757814	0.0318537	0.701773	4.06499e+06	7.10044e+09	0.962766	0	0	0	0	0	0	
0.0273064	0.0192538	0.0769944	0.0459325	0.566032	0.491208	0.721996	0.0498226	2.23412e+08	2.13028e+10	0.976464	0	0	0	0	0	0	
0.0253718	0.0632841	0.0267755	0.0718125	0.838855	0.956358	0.312363	0.641271	1.01254e+07	2.17169e+12	0.942331	0	0	0	0	0	0	
0.0419249	0.0539883	0.0646546	0.0693168	0.72874	0.248657	0.441619	0.385737	63730.5	9.00215e+07	0.979731	0	0	0	0	0	0	
0.0747349	0.0585623	0.0108184	0.0429662	0.162597	0.629254	0.684935	0.120272	2.58746e+06	1.44397e+07	0.993401	0	0	0	0	0	0	
0.00703219	0.0279657	0.0139454	0.0475922	0.276512	0.784241	0.373786	0.127392	1.89315e+08	1.4473e+08	0.981516	0	0	0	0	0	0	
0.0627157	0.0444666	0.0124065	0.0548179	0.319786	0.96416	0.202328	0.482048	198710	1.24763e+14	0.964301	0	0	0	0	0	0	
0.0878435	0.0952895	0.0887256	0.0662754	0.906593	0.0557244	0.29468	0.659921	1463.88	4.60308e+08	0.978087	0	0	0	0	0	0	
0.0201248	0.0174141	0.0479567	0.0504603	0.348841	0.740301	0.482911	0.186695	9.63654e+06	5.03809e+07	0.973011	0	0	0	0	0	0	
0.0150161	0.0542861	0.0487817	0.060096	0.564045	0.566343	0.484635	0.43224	6.04854e+06	20451.1	0.985201	0	0	0	0	0	0	
0.000842981	0.0707166	0.0516551	0.0800833	0.381228	0.412969	0.0348167	0.75671	4.97633e+08	1.96557e+08	0.949761	0	0	0	0	0	0	
0.0458723	0.0358418	0.0154124	0.0156103	0.114505	0.322667	0.19332	0.606518	304.708	2.29306e+09	0.97762	0	0	0	0	0	0	
0.0575114	0.0456876	0.0312059	0.0450896	0.140512	0.734993	0.47318	0.7662	127865	1.29747e+08	0.981792	0	0	0	0	0	0	
0.0037258	0.0163837	0.0963272	0.0968445	0.49195	0.0440659	0.694677	0.212449	4.6815e+10	681338	0.980632	0	0	0	0	0	0	
0.0784059	0.0280992	0.0455204	0.00592509	0.536716	0.73084	0.697019	0.0713083	150045	2.12488e+14	0.976377	0	0	0	0	0	0	
0.0709022	0.000870866	0.00746099	0.0594746	0.681235	0.411851	0.993741	0.8274	1.54931e+08	2.9537e+12	0.991274	0	0	0	0	0	0	
0.0148938	0.01533	0.0844069	0.0039338	0.807635	0.869258	0.817455	0.267494	1.3859e+09	1.41933e+14	0.993747	0	0	0	0	0	0	
0.0640185	0.0312372	0.0874603	0.0792072	0.0253477	0.625657	0.908242	0.964573	5.02541e+07	18645.8	1.00209	0	0	0	0	0	0	
0.0101196	0.0896412	0.0124904	0.0288009	0.137496	0.0421345	0.708891	0.40084	9.57667e+08	157262	0.977708	0	0	0	0	0	0	
0.0409026	0.00377247	0.0838321	0.0652948	0.802029	0.658001	0.497683	0.0240054	1.38598e+10	2.22377e+09	0.988505	0	0	0	0	0	0	
0.0852013	0.0902409	0.0547601	0.00730511	0.340225	0.811537	0.219268	0.50381	58093.1	3.56836e+09	0.988113	0	0	0	0	0	0	
0.0283696	0.0266532	0.013348	0.0495308	0.089238	0.201889	0.0283172	0.188095	4.58043e+07	5.59627e+11	0.965305	0	0	0	0	0	0	
0.0264473	0.0192873	0.0725362	0.0357445	0.0049392	0.294648	0.678137	0.689635	4.56688e+08	7657.93	0.962708	0	0	0	0	0	0	
0.0379395	0.00936156	0.0778876	0.0379511	0.210556	0.544608	0.565045	0.807683	7.46784e+09	11891.1	0.99546	0	0	0	0	0	0	
0.0184787	0.0965755	0.0318073	0.00685378	0.330522	0.0988013	0.137812	0.515374	4.50284e+10	1.23445e+09	0.996066	0	0	0	0	0	0	
0.0854988	0.0249039	0.0221073	0.0353444	0.751758	0.885132	0.853563	0.183178	22657	6.49157e+06	0.983321	0	0	0	0	0	0	
0.0895257	0.0349776	0.0814427	0.0709812	0.437604	0.21143	0.952806	0.59545	9.1658e+06	4.27096e+09	1.00618	0	0	0	0	0	0	
0.00304149	0.0299122	0.0282756	0.0220497	0.814281	0.0579019	0.506279	0.09846	1.13814e+06	2.52018e+09	0.98532	0	0	0	0	0	0	
0.0397822	0.0351055	0.00626114	0.0685107	0.225013	0.381174	0.546679	0.96923	5.87107e+10	324827	0.974655	0	0	0	0	0	0	
0.0264221	0.0108238	0.0606883	0.0768963	0.330372	0.412401	0.265768	0.0258965	4.07912e+09	212453	0.987268	0	0	0	0	0	0	
0.0147852	0.0883025	0.0983409	0.0466594	0.42154	0.0027094	0.152952	0.223445	1.03788e+09	6.64057e+07	0.971024	0	0	0	0	0	0	
0.0960389	0.080117	0.0481077	0.0186793	0.902893	0.414151	0.951306	0.122848	1277.04	1.31699e+12	0.962617	0	0	0	0	0	0	
0.0672107	0.0835429	0.0306784	0.0790599	0.722858	0.24711	0.218645	0.446233	3.90362e+06	1.62732e+07	0.992834	0	0	0	0	0	0	
0.0156168	0.0862633	0.0975294	0.0860057	0.0459503	0.736508	0.153169	0.396126	1.42642e+07	6.14903e+06	0.982547	0	0	0	0	0	0	
0.0316497	0.0334855	0.0936982	0.0725772	0.667334	0.831344	0.662876	0.486297	1.97425e+07	1.40067e+06	0.9737	0	0	0	0	0	0	
0.0138875	0.0999396	0.0591815	0.0443757	0.889851	0.298891	0.602395	0.6256	1.79318e+09	14524.4	0.976242	0	0	0	0	0	0	
0.0658423	0.0399625	0.0219569	0.083089	0.850156	0.681733	0.555103	0.1742	1.14721e+08	2.81161e+08	0.976774	0	0	0	0	0	0	
0.0901183	0.0940791	0.0930401	0.0952987	0.406523	0.758721	0.397124	0.722148	1873.91	1.49424e+06	0.976218	0	0	0	0	0	0	
0.0464096	0.0124661	0.0678598	0.0593265	0.475213	0.90494	0.605079	0.40795	4.37121e+07	1.97184e+06	0.980697	0	0	0	0	0	0	
0.0168414	0.0827956	0.0142111	0.0115132	0.269359	0.88134	0.0864767	0.338743	3.02089e+11	4.69572e+12	0.982783	0	0	0	0	0	0	
0.0540436	0.0828741	0.0627694	0.011522	0.0158171	0.420215	0.182821	0.877857	46073.2	1.336e+07	0.973553	0	0	0	0	0	0	
0.0967864	0.0837929	0.0531422	0.0497683	0.595195	0.481763	0.407211	0.107718	155.289	1.62849e+06	1.00776	0	0	0	0	0	0	
0.00628324	0.0351051	0.027809	0.0403165	0.784109	0.585213	0.179133	0.24353	1.24472e+09	3.24581e+09	0.974837	0	0	0	0	0	0	
0.061785	0.092833	0.0172483	0.0883419	0.0583208	0.0128061	0.694469	0.943287	4.73115e+09	2308.43	0.975057	0	0	0	0	0	0	
0.0182553	0.0530156	0.0755548	0.0249311	0.206402	0.263967	0.669677	0.0585295	1.30374e+08	6.97003e+11	0.995141	0	0	0	0	0	0	
0.0141849	0.0166129	0.0441633	0.0969393	0.393237	0.741689	0.244746	0.565713	9.80905e+07	2.18299e+07	0.96944	0	0	0	0	0	0	
0.0711389	0.0036846	0.089027	0.0423212	0.385553	0.26452	0.783122	0.798071	3.41266e+08	1.16806e+11	1.01041	0	0	0	0	0	0	
0.0934305	0.0967367	0.0434635	0.017349	0.149308	0.539388	0.330595	0.172751	145945	1.58295e+08	0.994523	0	0	0	0	0	0	
0.098666	0.0536479	0.0668481	0.0814233	0.727889	0.0138356	0.497586	0.714247	10519.2	1.16986e+12	0.956271	0	0	0	0	0	0	
0.0919458	0.0280309	0.0362025	0.0280053	0.560538	0.717901	0.405276	0.993754	5607.76	1.68123e+07	0.968642	0	0	0	0	0	0	
0.0515693	0.020132	0.077602	0.0481907	0.211375	0.984042	0.676516	0.930516	8.75347e+08	200.308	0.974661	0	0	0	0	0	0	
0.0729626	0.0740263	0.0523233	0.0392171	0.0557705	0.164291	0.0291112	0.667291	2439.93	3.45689e+07	0.969507	0	0	0	0	0	0	
0.0117467	0.0870406	0.0951913	0.0193887	0.37422	0.534453	0.374935	0.11333	2.38324e+10	1.26053e+11	0.973692	0	0	0	0	0	0	
0.00424342	0.0364391	0.0804281	0.0261758	0.153802	0.663797	0.940388	0.0903008	2.08536e+08	1.32161e+10	0.980674	0	0	0	0	0	0	
0.053911	0.0415038	0.0425608	0.0278199	0.896262	0.0940561	0.676316	0.137713	3372.43	5.78411e+10	0.982734	0	0	0	0	0	0	
0.0771999	0.0491239	0.0422467	0.0646263	0.647008	0.542481	0.000559716	0.652058	27483.9	1.36316e+08	1.00098	0	0	0	0	0	0	



#Generation 2 / 200
currentGen	2
evaluateCount	200
totalTime	269.361
firstFrontCount	1
frontCount	95
avgEvalTime	1.3391
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.0989777	0.0545822	0.0523233	0.0392171	0.0557705	0.164291	0.406938	0.667291	343.983	630204	0.977807	0	0	0	0	0	0	
0.038455	0.0248427	0.0725362	0.0357445	0.0238254	0.319916	0.525315	0.689635	1.40356e+08	856.186	0.982264	0	0	0	0	0	0	
0.0286729	0.0351055	0.0176634	0.0439079	0.141542	0.381174	0.47329	0.794763	5.70891e+08	362.818	0.967578	0	0	0	0	0	0	
0.0397822	0.0351055	0.00923953	0.0685107	0.225013	0.378519	0.546679	0.96923	2.62551e+10	35967.3	0.968511	0	0	0	0	0	0	
0.0397822	0.0351055	0.00626114	0.0685107	0.225013	0.381174	0.546679	0.96923	5.87107e+10	324827	0.974655	0	0	0	0	0	0	
0.0640185	0.0312372	0.0874603	0.0792072	0.0253477	0.625657	0.908242	0.964573	5.02541e+07	18645.8	1.00209	0	0	0	0	0	0	
0.0120317	0.00304851	0.0168715	0.0939505	0.101189	0.349514	0.782599	0.95774	5.68349e+08	15.9295	0.973983	0	0	0	0	0	0	
0.0120317	0.00752528	0.035058	0.0939505	0.101189	0.349514	0.782599	0.914507	3.91481e+08	186.201	0.969457	0	0	0	0	0	0	
0.0120317	0.00752528	0.035058	0.0939505	0.0758441	0.349514	0.782599	0.914507	5.02023e+08	22.5146	0.997646	0	0	0	0	0	0	
0.0812202	0.0295413	0.0549398	0.0792072	0.0253477	0.625657	0.908242	0.964573	4.8966e+06	7195.86	0.980478	0	0	0	0	0	0	
0.0264473	0.031154	0.0778356	0.0362739	0	0.294648	0.336055	0.689635	4.33853e+07	239.32	0.978962	0	0	0	0	0	0	
0.0264473	0.0192873	0.0725362	0.0357445	0.0049392	0.294648	0.678137	0.689635	4.56688e+08	7657.93	0.962708	0	0	0	0	0	0	
0.0379395	0.00936156	0.0778876	0.0379511	0.210556	0.544608	0.565045	0.807683	7.46784e+09	11891.1	0.99546	0	0	0	0	0	0	
0.0162835	0.0707166	0	0.0800833	0.381228	0.469846	0.640398	0.924607	3.84205e+11	7.83351e+07	0.98955	0	0	0	0	0	0	
0.0264473	0.00525705	0.0725362	0.0357445	0	0.294648	0.682332	0.689635	5.91716e+12	12237	1.00749	0	0	0	0	0	0	
0.083735	0.0992373	0.000357187	0.0422105	0.062883	0.0682524	0.493878	0.653405	403107	1.01789e+10	0.980249	0	0	0	0	0	0	
0.083735	0.0992373	0.000357187	0.0454203	0.062883	0.0682524	0.420489	0.493637	3.15576e+06	5.45369e+10	1.00094	0	0	0	0	0	0	
